#timestamp x y z q_x q_y q_z q_w
1782875838.205632 -0.003180732757235 -0.001364894144553 0.001037716536715 0.000132755085911 0.000750423058912 0.000636414241683 0.999999507108995
1782875838.305548 -0.012276910497693 -0.006801971368805 0.002020034189033 -0.000117292687011 0.000817643130853 0.000429153493295 0.999999566764614
1782875838.405612 -0.012046154650420 -0.014737861475186 0.001470167237424 0.000714437096405 0.000390333040900 0.001816682777056 0.999998018439756
1782875838.505593 -0.011082057044372 -0.015362640931861 0.004089255222079 -0.000835132521857 0.001081398160086 0.001098846289731 0.999998462833079
1782875838.605628 -0.011428288225672 -0.015297095421518 0.007651304704482 -0.000159937643932 0.001410072615987 0.001285001156627 0.999998167441918
1782875838.706754 -0.012437234771966 -0.013520783694080 0.007960451555584 -0.000051249420298 0.001207677377863 0.001302285996468 0.999998421468769
1782875838.806641 -0.009382685383956 -0.010873784162501 0.009807488675688 0.000308283958654 0.001608872345128 0.001099795126974 0.999998053468833
1782875838.905652 -0.008981349066201 -0.009206682861287 0.009607586269844 0.000427710122937 0.001507062165617 0.000994702268630 0.999998278196054
1782875839.006647 -0.009268133070116 -0.008294582319710 0.008693966613297 0.000019696964902 0.001392311614695 0.001139800750339 0.999998380966011
1782875839.106724 -0.007622577013778 -0.009278725667475 0.006054502768725 -0.000018444809562 0.001145728289930 0.001214855317511 0.999998605545542
1782875839.205605 -0.008282054425823 -0.009069102859240 0.005115948640919 0.000032705734093 0.001302644320987 0.000875197349519 0.999998768038094
1782875839.306791 -0.003560271914991 -0.009957749771495 0.004842538931701 0.000010409769285 0.000956675269531 0.001301631540165 0.999998695208848
1782875839.406745 -0.000996038876534 -0.010294139089994 0.004266269097304 -0.000099304077848 0.000825881578326 0.001065419768197 0.999999086469100
1782875839.506602 -0.005061276187708 -0.009172703927893 0.006180858008442 -0.000136924605427 0.001398762218508 0.000824177190078 0.999998672723052
1782875840.906816 -0.005983590274660 -0.007660993274419 0.007687756276738 0.000043186350716 0.001497269758429 0.000612452436614 0.999998690609254
1782875841.006685 -0.007058145674589 -0.011266701470103 0.006200073776019 -0.000501623565521 0.000947681363923 0.000802061561650 0.999999103485139
1782875841.105798 -0.007886513147298 -0.010362926470627 0.005500531746798 -0.000464512577728 0.000874368219841 0.000487483624184 0.999999391033813
1782875841.205586 -0.009365111677717 -0.007997140202917 0.005183921063868 -0.000628289142838 0.000956448292697 0.000238223107864 0.999999316854349
1782875841.305635 -0.012232028277036 -0.008325159756748 0.006423459211123 -0.000292239115431 0.001286390292912 0.000636343867475 0.999998927430822
1782875841.405584 -0.013220063746195 -0.005987313329264 0.006277137377413 -0.000121724026938 0.001284301789612 0.000118693483577 0.999999160831663
1782875841.505562 -0.010956505541311 -0.008074562392054 0.006985465616705 -0.000378251469533 0.001180100153127 0.000793625188782 0.999998917223670
1782875841.605742 -0.009073078054345 -0.005897174709678 0.005280496989920 -0.000297917407428 0.000795185245932 -0.000034876713454 0.999999638854563
1782875841.705562 -0.008885695488936 -0.005312243820055 0.004715733080406 -0.000444686182371 0.000897836640611 0.000166856616862 0.999999484151084
1782875841.806659 -0.007750396646716 -0.005277106261153 0.004812408101066 -0.000312200922255 0.000825279834916 0.000222404108314 0.999999585990009
